="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)"
="L7.d_index",="",="",="",="",="",="",="1.004",="1.006",="1.006",="0.988",="1.022",="1.046",="1.046",="1.074*",="1.143*",="0.745",="0.699",="0.621",="0.409",="0.469",="0.511",="0.334",="0.252",="0.252",="0.267",="0.649",="0.699",="0.663",="0.798",="0.747",="0.715"
="",="",="",="",="",="",="",="(0.532)",="(0.533)",="(0.534)",="(0.535)",="(0.539)",="(0.541)",="(0.541)",="(0.543)",="(0.574)",="(0.608)",="(0.605)",="(0.616)",="(0.670)",="(0.677)",="(0.676)",="(0.683)",="(0.730)",="(0.738)",="(0.736)",="(0.733)",="(0.737)",="(0.732)",="(0.736)",="(0.743)",="(0.751)"
="L8.d_index",="",="",="",="",="",="",="",="-0.050",="-0.054",="-0.060",="-0.131",="-0.132",="-0.075",="-0.083",="-0.074",="-0.031",="0.800",="0.841",="0.899",="0.824",="0.653",="0.588",="0.700",="0.482",="0.464",="0.395",="0.413",="0.310",="0.427",="0.265",="0.166"
="",="",="",="",="",="",="",="",="(0.536)",="(0.537)",="(0.538)",="(0.558)",="(0.562)",="(0.563)",="(0.565)",="(0.568)",="(0.604)",="(0.652)",="(0.646)",="(0.652)",="(0.653)",="(0.657)",="(0.660)",="(0.670)",="(0.714)",="(0.715)",="(0.697)",="(0.715)",="(0.711)",="(0.710)",="(0.725)",="(0.734)"
="L9.d_index",="",="",="",="",="",="",="",="",="0.051",="0.036",="0.024",="-0.005",="-0.004",="-0.029",="-0.034",="0.042",="0.197",="-0.298",="-0.250",="-0.348",="-0.269",="-0.258",="-0.213",="-0.222",="0.076",="-0.110",="-0.025",="-0.186",="-0.026",="-0.118",="-0.235"
="",="",="",="",="",="",="",="",="",="(0.523)",="(0.524)",="(0.526)",="(0.550)",="(0.553)",="(0.556)",="(0.558)",="(0.572)",="(0.602)",="(0.653)",="(0.659)",="(0.660)",="(0.659)",="(0.668)",="(0.674)",="(0.685)",="(0.723)",="(0.708)",="(0.711)",="(0.722)",="(0.723)",="(0.732)",="(0.751)"
="L10.d_index",="",="",="",="",="",="",="",="",="",="0.419",="0.352",="0.350",="0.372",="0.351",="0.337",="0.361",="0.472",="0.519",="0.773",="0.695",="0.748",="0.708",="0.817",="0.828",="0.982",="0.544",="0.638",="0.739",="1.091",="0.939",="0.856"
="",="",="",="",="",="",="",="",="",="",="(0.577)",="(0.583)",="(0.584)",="(0.591)",="(0.595)",="(0.599)",="(0.599)",="(0.609)",="(0.604)",="(0.650)",="(0.650)",="(0.648)",="(0.652)",="(0.663)",="(0.670)",="(0.674)",="(0.694)",="(0.699)",="(0.695)",="(0.711)",="(0.722)",="(0.731)"
="L11.d_index",="",="",="",="",="",="",="",="",="",="",="0.631",="0.573",="0.584",="0.575",="0.553",="0.563",="0.493",="0.268",="0.267",="0.198",="0.278",="0.235",="0.266",="0.229",="0.301",="-0.025",="0.391",="0.418",="0.347",="0.001",="-0.082"
="",="",="",="",="",="",="",="",="",="",="",="(0.564)",="(0.571)",="(0.571)",="(0.580)",="(0.584)",="(0.585)",="(0.580)",="(0.590)",="(0.597)",="(0.635)",="(0.634)",="(0.638)",="(0.644)",="(0.655)",="(0.654)",="(0.645)",="(0.683)",="(0.680)",="(0.678)",="(0.705)",="(0.717)"
="L12.d_index",="",="",="",="",="",="",="",="",="",="",="",="0.613",="0.644",="0.635",="0.707",="0.722",="0.782",="0.854",="0.911",="0.807",="0.657",="0.570",="0.696",="0.868",="0.925",="0.797",="0.915",="1.317",="1.222",="1.233",="1.078"
="",="",="",="",="",="",="",="",="",="",="",="",="(0.515)",="(0.516)",="(0.518)",="(0.540)",="(0.543)",="(0.545)",="(0.551)",="(0.576)",="(0.610)",="(0.648)",="(0.651)",="(0.660)",="(0.730)",="(0.735)",="(0.721)",="(0.734)",="(0.779)",="(0.782)",="(0.789)",="(0.810)"
="L13.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="-0.886",="-0.884",="-0.897",="-0.721",="-0.665",="-0.703",="-0.673",="-0.472",="-0.028",="-0.134",="-0.050",="-0.177",="0.382",="0.328",="0.443",="0.504",="-0.175",="-0.041",="-0.047"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.481)",="(0.483)",="(0.485)",="(0.504)",="(0.515)",="(0.520)",="(0.533)",="(0.547)",="(0.572)",="(0.624)",="(0.635)",="(0.664)",="(0.725)",="(0.714)",="(0.723)",="(0.729)",="(0.773)",="(0.784)",="(0.793)"
="L14.d_index",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.397",="0.477",="0.454",="0.228",="0.365",="0.284",="0.399",="0.131",="-0.232",="-0.034",="-0.001",="-0.270",="-0.505",="-0.486",="-0.469",="-0.559",="-0.400",="-0.377"
